;maxRange
3846;0,5592828989028931
3709;0,31797271966934204
3007;1,5177256166934967
4401;1,0868240408599377
645;-0,961040735244751
97;-0,36211174726486206
218;-1,4029441177845001
2768;-1,1316183917224407
4647;-0,2558352202177048
4289;-0,5116308629512787
4783;1,0313841700553894
1733;0,17566795647144318
62;2,0800127387046814
1571;-0,5147381372844393
3944;0,020195960998535156
4139;-0,4445943832397461
4987;1,0159133402630687
1445;0,07439064979553223
4586;-1,0788665413856506
3830;-0,33904898166656494
1051;0,14887648820877075
501;0,7423785626888275
1770;-0,5938041806221008
3271;-0,4991481900215149
1119;-0,34091098606586456
3637;1,8862380385398865
1256;0,7961739599704742
1317;-0,6632134430110455
3525;-0,2052302360534668
4686;-0,5242108106613159
394;0,4073771834373474
1676;0,7946243286132812
630;0,12723055481910706
1541;0,5477303266525269
4531;-0,617300983518362
1008;1,2517717480659485
2609;0,5935373902320862
4829;2,1261608600616455
2559;0,5038311202952173
1304;-4,929652392864227
1391;1,195969581604004
2509;-0,23148953914642334
1103;-0,06117522716522217
2853;0,234119713306427
2730;2,813731372356415
4480;-0,06416768953204155
491;-0,23402780294418335
940;-4,4800572991371155
554;-0,34346921741962433
3554;1,2787957163527608
3397;-0,4248697906732559
1996;-0,5337885320186615
4240;-0,44577330350875854
241;-0,2447319282218814
3323;-0,6001261919736862
2823;-0,14699149690568447
4557;-0,8391322493553162
1660;-0,488580584526062
2662;1,3755913265049458
2784;0,05465615168213844
1975;-0,06555349379777908
287;-0,19661147892475128
3319;-0,44007161259651184
4167;-0,05143185891211033
2520;1,249092061072588
2914;-0,1627770960330963
4494;-0,3002854958176613
1521;0,16053593158721924
1989;-0,08974608778953552
1416;0,2525838017463684
2083;0,09878376126289368
4206;-0,25721049308776855
3039;-0,6769812703132629
4972;0,05505776405334473
2930;0,8861069977283478
980;2,121133863925934
3595;-0,48387613892555237
1476;-0,6255719363689423
3068;0,1723027378320694
1957;-0,420226514339447
4340;-5,032024323940277
485;1,8910782933235168
2552;-0,47559399413876235
2997;0,44498927891254425
2767;0,3023856282234192
2816;-0,08788836002349854
11;1,2406208515167236
3827;0,04272112250328064
34;-0,2554156333208084
3954;-0,013576030731201172
4360;1,069721631705761
4347;0,42229608446359634
1881;-0,4861236633732915
3661;0,681627631187439
3274;0,9232719776500744
944;0,08066663146018982
4476;0,024581465870141983
3820;-0,43602733709849417
1931;0,45528649166226387
1271;1,5178870782256126
4133;-0,7710043842917003
1675;-0,0942990779876709
3110;0,12159726396203041
1463;0,7700900584459305
2538;0,1365458369255066
3013;-0,050698839128017426
737;0,24661165475845337
3898;-0,27520331740379333
2148;1,2980548311024904
4942;0,16152015328407288
2462;0,2618403434753418
2206;-0,36786365509033203
3984;0,7527756690979004
3894;-0,4695429988205433
3962;0,8968287706375122
1515;-0,20405918511096388
2089;-2,235951818525791
2968;0,6181967156007886
285;1,006764143705368
2401;-1,5637732902541757
1551;0,2347313854843378
112;0,3084977865219116
1409;0,2882491797208786
2181;0,27638527750968933
1952;0,6630978584289551
4888;0,1357247233390808
1366;-0,07347157597541809
4901;-0,12830764055252075
364;-0,3370438478887081
4823;0,9527801144868135
3711;-3,493475392460823
813;1,0503068566322327
3141;-0,1670900695025921
1701;0,5097847580909729
74;-0,5963879525661469
3082;-0,408717043697834
