dataType,regressor,interactionsDegree,polyreduction,mae,mae_std,rmse,rmse_std,fitTime,fitTime_std,predTime,predTime_std,trainSize
TestData,LinReg,3,-1,2.533990023803711,0.06422545318104113,3.555337575477391,0.10244762688827992,0.006702733039855957,0.0010373843288543423,0.1081268310546875,0.004076341841566285,0
dataType,regressor,interactionsDegree,polyreduction,mae,mae_std,rmse,rmse_std,fitTime,fitTime_std,predTime,predTime_std,trainSize
TestData,LinReg,3,50,0.6524175419323146,0.009433021073651068,0.8528012783147609,0.013439951180294734,0.010821914672851563,0.0013050091864240609,0.10757107734680176,0.002109977311967694,0
