,blue_alt,red_alt,angle_off,aspect_angle,Rmax
0,48930.41507349748,35698.08894543264,-100.05232176076554,2.791523468268025,-25.0
1,39465.108615521254,7635.790765254694,155.86475482862966,-66.25822236293232,-22.5
2,10244.177406654853,30932.086598314607,22.067999707610653,51.95012238821698,-15.0
3,35174.519674665324,20798.118159536036,-4.291200266448328,-47.61944324287979,-22.5
4,2780.723936946829,47567.72375465921,-73.99326362448245,-4.030671502783221,-1.0
5,41779.932017517705,13295.04745278902,-134.43825988575554,-4.668079239880242,-30.0
6,44389.94935500596,45395.71404226618,-73.41448939849059,74.68158716375163,-15.0
7,30177.07435056862,41611.96281247479,-107.28654589599742,-87.82131575858281,-14.5
8,25613.602817618274,34174.31692856863,-82.72490162441571,87.27138080360271,-13.0
9,9115.707747521963,48756.688496146824,-4.875772436903617,40.984763711062016,-1.0
10,13756.410252975651,13272.244671746603,-141.1602577803617,85.17238612234476,-16.0
11,43054.99613716562,18053.220830597413,162.0184016960947,13.334086509603708,-30.0
12,4869.091042592182,42390.003502172825,-109.64278279612502,-67.33639755430366,-11.0
13,27286.316053209397,13098.802790717957,133.33246240892436,-13.082880088790716,-26.5
14,18172.308734660106,31650.364192585872,-145.6176558504269,-70.92072052636384,-16.0
15,21207.68640817962,28914.255109809525,-95.71951301506381,3.793290918421107,-21.0
16,38167.675468650676,45072.83901023046,-57.77849663106005,70.29218869574188,-15.0
17,8242.082615696501,20808.380507556576,-161.76195690774307,-81.03315050305694,-15.0
18,16783.919869030335,22615.50220340714,40.52281455950188,7.487123841964888,-21.0
19,3545.100070751044,28281.988441160647,-2.420989547242584,-78.95066643391972,-12.0
20,37986.58253395484,3555.880266286808,127.82998024359091,13.679986937607666,-31.0
21,49403.79859809629,30760.430048583556,57.08538263310351,-5.228828899329727,-25.5
22,27493.468040451895,25384.037289784854,-171.89237052019644,-87.02570406339771,-15.0
23,20310.557117693363,7680.9174285323825,136.09214581382224,-11.586628596202857,-26.5
24,46273.346422145194,17467.01722824511,-6.668074734917695,25.811608509688853,-27.0
25,35241.08958869514,17614.579777454586,-62.131495075201116,56.61516964071532,-21.5
26,16103.05565571097,35483.15862789702,37.43272650567448,-77.94777403294655,-12.5
27,40337.729964365215,14408.097583048986,-43.27676508595977,44.76923109218552,-25.0
28,37007.94241047832,8677.903428256452,177.2825328679629,33.19394346251762,-28.5
29,8297.14141095249,38820.34839896728,38.70918271144518,81.76233196100131,-11.0
