Case,BL_Speed,RD_Speed,rad,BL_Hdg,RD_Hdg,BL_Alt,RD_Alt,maxRange,minErrorTry
1066,586,727,11,0,-48,5587,4273,0.0,45.0
1067,511,509,-4,0,-28,5094,4217,0.0,45.0
1068,505,474,-40,0,-147,6406,7335,0.0,45.0
1069,526,611,-35,0,-138,11551,12133,0.0,45.0
1070,647,483,58,0,-45,10323,10127,0.0,45.0
1071,683,484,4,0,107,6246,7576,0.0,45.0
1072,482,663,59,0,-93,10749,12150,0.0,45.0
1073,547,723,-14,0,-144,1081,1915,0.0,45.0
1074,667,538,-14,0,91,6780,6681,0.0,45.0
1075,727,718,0,0,-20,9084,8121,0.0,45.0
1076,571,573,-56,0,173,9028,8577,0.0,45.0
1077,605,716,58,0,169,10916,9891,0.0,45.0
1078,748,625,32,0,-149,11025,11513,0.0,45.0
1079,452,613,-12,0,-20,12731,12992,0.0,45.0
1080,597,465,42,0,-115,13538,14868,0.0,45.0
1081,645,681,34,0,21,8591,8131,0.0,45.0
1082,549,745,-27,0,14,9917,9268,0.0,45.0
1083,728,516,47,0,122,12331,11855,0.0,45.0
1084,599,710,-39,0,-14,9008,9752,0.0,45.0
1085,569,539,-27,0,88,10046,9059,0.0,45.0
1086,493,524,46,0,84,10750,11103,0.0,45.0
1087,536,704,-46,0,174,11475,12910,0.0,45.0
1088,647,584,56,0,-59,4987,5029,0.0,45.0
1089,665,641,-17,0,-31,1541,2732,0.0,45.0
1090,648,476,-6,0,-171,6236,5425,0.0,45.0
1091,478,574,15,0,-113,13236,13910,0.0,45.0
1092,707,481,39,0,-178,870,1288,0.0,45.0
1093,540,588,47,0,63,8789,10211,0.0,45.0
1094,686,654,-60,0,-46,8947,7627,0.0,45.0
1095,593,481,20,0,-67,1377,2608,0.0,45.0
1096,587,574,8,0,24,1994,2583,0.0,45.0
1097,587,655,25,0,124,8278,9613,0.0,45.0
1098,550,634,36,0,-108,5438,6955,0.0,45.0
1099,611,710,-35,0,-153,8143,8144,0.0,45.0
1100,672,624,43,0,-131,1468,1731,0.0,45.0
1101,536,647,-17,0,162,1979,1118,0.0,45.0
1102,583,712,8,0,94,4547,5020,0.0,45.0
1103,566,571,42,0,151,7229,6297,0.0,45.0
1104,556,687,-53,0,26,2162,2779,0.0,45.0
1105,515,611,31,0,35,6431,5549,0.0,45.0
1106,611,476,-53,0,143,9116,8208,0.0,45.0
1107,476,671,58,0,-150,4737,3819,0.0,45.0
1108,668,590,15,0,-164,4615,3445,0.0,45.0
1109,737,552,16,0,-90,4824,5881,0.0,45.0
1110,610,705,-14,0,-160,9989,10614,0.0,45.0
1111,672,471,-59,0,177,4556,5095,0.0,45.0
1112,608,589,-44,0,-44,1517,2118,0.0,45.0
1113,615,674,-28,0,-20,12282,13405,0.0,45.0
1114,608,472,-41,0,-58,4097,2769,0.0,45.0
1115,456,490,-17,0,-141,4402,5034,0.0,45.0
1116,623,728,2,0,110,5350,5863,0.0,45.0
1117,603,734,-16,0,36,7194,7229,0.0,45.0
1118,629,706,-26,0,-111,2949,3178,0.0,45.0
1119,575,469,-35,0,-70,6257,6128,0.0,45.0
1120,454,555,-24,0,-118,7119,7441,0.0,45.0
1121,572,489,-38,0,-153,5208,4968,0.0,45.0
1122,454,470,-37,0,140,7355,6362,0.0,45.0
1123,529,584,5,0,-43,7805,7363,0.0,45.0
1124,613,539,-43,0,153,7233,8189,0.0,45.0
1125,737,615,13,0,-152,2635,2265,0.0,45.0
1126,660,707,0,0,119,13018,12972,0.0,45.0
1127,496,681,-50,0,12,8637,9425,0.0,45.0
1128,545,592,4,0,88,1901,3122,0.0,45.0
1129,676,647,-26,0,-129,9962,9863,0.0,45.0
