Case,BL_Speed,RD_Speed,rad,BL_Hdg,RD_Hdg,BL_Alt,RD_Alt,maxRange,minErrorTry
432,708,727,19,0,-40,13233,11982,15.99609375,16.171875
433,570,479,8,0,-176,2095,3563,24.78515625,24.9609375
434,643,705,48,0,14,5620,5225,3.515625,3.69140625
435,743,731,4,0,-139,3713,2649,29.53125,29.70703125
436,650,716,45,0,1,9670,8386,6.328125,6.50390625
437,631,721,44,0,15,7439,7735,4.21875,4.39453125
438,546,520,54,0,-71,10232,11596,20.390625,20.56640625
439,514,504,51,0,44,5851,6460,5.9765625,6.15234375
440,640,487,0,0,32,8159,9225,10.546875,10.72265625
441,660,580,34,0,179,12462,11814,33.046875,33.22265625
442,739,625,36,0,55,2344,2583,4.5703125,4.74609375
443,649,480,38,0,-174,13103,13093,30.76171875,30.9375
444,653,534,0,0,-113,9637,8958,27.0703125,27.24609375
445,609,537,27,0,-128,12051,13134,31.640625,31.81640625
446,632,488,34,0,75,5434,5403,9.140625,9.31640625
447,552,498,29,0,53,7518,8455,8.96484375,9.140625
448,540,652,17,0,130,9193,9326,26.71875,26.89453125
449,578,649,10,0,148,4947,4722,27.24609375,27.421875
450,503,508,15,0,76,11135,10468,16.34765625,16.5234375
451,538,570,10,0,-100,1590,1874,15.8203125,15.99609375
452,617,658,45,0,-23,8456,9290,9.4921875,9.66796875
453,690,680,38,0,-109,12315,12277,32.87109375,33.046875
454,521,743,1,0,46,8722,9198,7.734375,7.91015625
455,583,670,18,0,130,12455,13476,29.1796875,29.35546875
456,525,588,47,0,81,9044,10562,10.8984375,11.07421875
457,467,453,10,0,-37,11108,12630,13.18359375,13.359375
458,470,653,8,0,-143,1986,1707,25.3125,25.48828125
459,550,548,52,0,105,5909,5356,9.140625,9.31640625
460,729,656,38,0,163,3682,3987,24.2578125,24.43359375
461,619,574,3,0,43,7800,6807,8.96484375,9.140625
462,627,625,17,0,-90,11418,10644,26.19140625,26.3671875
463,681,628,36,0,124,13388,14679,26.71875,26.89453125
464,501,635,9,0,-43,5337,4365,5.80078125,5.9765625
465,507,708,27,0,107,8280,7877,15.99609375,16.171875
466,698,647,23,0,91,3984,4034,9.84375,10.01953125
467,485,460,58,0,-59,12407,11911,19.16015625,19.3359375
468,486,586,38,0,-49,10210,9116,14.94140625,15.1171875
469,546,499,56,0,-82,3280,4399,18.28125,18.45703125
470,663,484,20,0,-91,11982,11791,26.71875,26.89453125
471,749,736,52,0,-66,4258,4127,18.80859375,18.984375
472,654,708,21,0,-58,12940,13577,20.0390625,20.21484375
473,535,590,34,0,-177,4795,3628,25.83984375,26.015625
474,637,454,32,0,51,13062,11968,15.64453125,15.8203125
475,488,724,49,0,3,6960,6397,2.98828125,3.1640625
476,667,584,52,0,53,1427,2313,3.8671875,4.04296875
477,539,697,25,0,64,6248,7475,7.03125,7.20703125
478,747,567,31,0,77,2357,3799,7.20703125,7.3828125
479,643,453,9,0,-99,4070,3615,18.6328125,18.80859375
480,742,585,1,0,173,12054,12765,37.96875,38.14453125
481,563,619,27,0,-98,10551,9824,27.0703125,27.24609375
482,478,475,8,0,-169,7045,6958,27.7734375,27.94921875
483,454,616,33,0,56,5856,5832,5.09765625,5.2734375
484,506,518,41,0,-36,12615,12713,15.29296875,15.46875
485,649,702,44,0,-98,12485,11726,30.76171875,30.9375
486,507,590,33,0,67,11495,12774,12.83203125,13.0078125
487,568,514,48,0,35,6881,6355,6.50390625,6.6796875
488,460,503,33,0,-85,5372,4185,18.28125,18.45703125
489,573,720,59,0,153,2882,3318,11.42578125,11.6015625
490,727,481,21,0,60,11062,9710,15.99609375,16.171875
491,698,665,12,0,-178,4885,4152,32.34375,32.51953125
492,588,710,54,0,65,6123,6642,5.44921875,5.625
493,565,665,14,0,-139,3623,4582,27.59765625,27.7734375
494,545,747,53,0,123,9629,10067,16.171875,16.34765625
495,534,655,2,0,-180,1532,2782,28.125,28.30078125
496,652,590,5,0,-46,2670,4178,5.9765625,6.15234375
497,720,727,54,0,172,5763,5064,24.609375,24.78515625
498,532,712,11,0,98,9727,10414,20.0390625,20.21484375
499,652,703,30,0,160,4200,4273,26.015625,26.19140625
500,622,452,8,0,-51,4287,4285,9.66796875,9.84375
501,588,525,10,0,-140,8958,7878,30.41015625,30.5859375
502,482,740,29,0,-174,6384,6579,30.76171875,30.9375
503,657,744,48,0,-95,6822,7469,26.89453125,27.0703125
504,472,608,15,0,-159,4064,4207,27.94921875,28.125
505,710,461,35,0,-121,8073,7400,28.125,28.30078125
506,706,555,21,0,113,6228,6028,18.28125,18.45703125
507,563,616,32,0,-135,13065,14110,32.6953125,32.87109375
508,507,675,3,0,-44,13401,12962,13.359375,13.53515625
509,636,730,38,0,-71,7441,8905,20.390625,20.56640625
510,625,481,5,0,-104,2730,2730,17.578125,17.75390625
511,725,540,32,0,0,2699,2855,4.74609375,4.921875
512,554,478,13,0,-26,11417,10142,12.83203125,13.0078125
513,690,662,48,0,-93,2600,1249,23.203125,23.37890625
514,555,535,48,0,-115,4152,5420,23.5546875,23.73046875
