Case,BL_Speed,RD_Speed,rad,BL_Hdg,RD_Hdg,BL_Alt,RD_Alt,maxRange,minErrorTry
0,742,466,-6,0,67,9775,8311,8.96484375,9.140625
1,555,686,44,0,71,4850,6002,3.1640625,3.33984375
2,532,467,6,0,70,5674,4461,3.8671875,4.04296875
3,577,634,-55,0,35,2576,3522,-1.0,0.703125
4,631,645,-7,0,-35,11362,10912,6.328125,6.50390625
5,683,539,27,0,-25,11147,11108,9.31640625,9.4921875
6,518,683,38,0,-58,7507,8495,4.04296875,4.21875
7,642,472,14,0,-178,4164,3188,5.80078125,5.9765625
8,549,605,8,0,7,12953,12412,7.91015625,8.0859375
9,610,731,-3,0,43,8004,6746,-1.0,0.703125
10,749,616,48,0,76,2866,2260,3.33984375,3.515625
11,661,572,-56,0,-164,8440,8149,6.328125,6.50390625
12,486,723,58,0,-139,2756,2806,4.04296875,4.21875
13,740,641,56,0,127,2756,1694,3.33984375,3.515625
14,499,676,-39,0,-83,6016,6266,2.98828125,3.1640625
15,662,678,-29,0,168,4804,3867,5.80078125,5.9765625
16,717,541,50,0,-119,4678,5020,4.39453125,4.5703125
17,604,534,24,0,152,3159,2356,4.39453125,4.5703125
18,695,627,-19,0,42,3968,2464,-1.0,0.703125
19,728,472,-18,0,-17,4279,3082,4.04296875,4.21875
20,584,679,-9,0,118,2896,2971,3.8671875,4.04296875
21,703,573,34,0,88,4755,5361,4.39453125,4.5703125
22,697,705,-52,0,-95,8322,9559,5.9765625,6.15234375
23,686,655,-43,0,35,9172,10043,6.328125,6.50390625
24,628,725,-11,0,70,11801,10956,6.50390625,6.6796875
25,674,724,-52,0,-155,6032,4887,4.5703125,4.74609375
26,527,505,17,0,52,13403,13865,11.42578125,11.6015625
27,521,684,50,0,43,12995,13523,8.26171875,8.4375
28,678,625,32,0,-48,13226,14560,11.25,11.42578125
29,684,666,-18,0,152,8818,9437,8.0859375,8.26171875
30,528,571,-19,0,136,843,2133,3.33984375,3.515625
31,550,744,46,0,141,8151,6729,4.21875,4.39453125
32,509,601,-5,0,-54,12071,11732,6.85546875,7.03125
33,495,473,16,0,101,12867,11775,10.8984375,11.07421875
34,596,533,25,0,64,2618,2572,2.8125,2.98828125
35,655,548,-16,0,-87,1610,2508,3.1640625,3.33984375
36,549,668,-34,0,-131,11516,11255,7.03125,7.20703125
37,687,717,32,0,36,7637,8833,-1.0,0.703125
38,734,556,-26,0,125,6273,5223,5.9765625,6.15234375
39,453,557,-6,0,132,6996,7036,5.09765625,5.2734375
