Case,BL_Speed,RD_Speed,rad,BL_Hdg,RD_Hdg,BL_Alt,RD_Alt,maxRange,minErrorTry
81,450,450,0,0,180,304.8,304.8,22.67578125,22.8515625
82,600,450,0,0,180,304.8,304.8,23.73046875,23.90625
83,750,450,0,0,180,304.8,304.8,21.4453125,21.62109375
84,450,600,0,0,180,304.8,304.8,26.015625,26.19140625
85,600,600,0,0,180,304.8,304.8,27.0703125,27.24609375
86,750,600,0,0,180,304.8,304.8,21.26953125,21.4453125
87,450,750,0,0,180,304.8,304.8,29.1796875,29.35546875
88,600,750,0,0,180,304.8,304.8,30.9375,31.11328125
89,750,750,0,0,180,304.8,304.8,21.09375,21.26953125
90,450,450,-30,0,150,304.8,304.8,21.796875,21.97265625
91,600,450,-30,0,150,304.8,304.8,22.67578125,22.8515625
92,750,450,-30,0,150,304.8,304.8,23.5546875,23.73046875
93,450,600,-30,0,150,304.8,304.8,24.9609375,25.13671875
94,600,600,-30,0,150,304.8,304.8,25.83984375,26.015625
95,750,600,-30,0,150,304.8,304.8,26.89453125,27.0703125
96,450,750,-30,0,150,304.8,304.8,27.94921875,28.125
97,600,750,-30,0,150,304.8,304.8,29.00390625,29.1796875
98,750,750,-30,0,150,304.8,304.8,30.05859375,30.234375
99,450,450,-60,0,120,304.8,304.8,18.984375,19.16015625
100,600,450,-60,0,120,304.8,304.8,19.86328125,20.0390625
101,750,450,-60,0,120,304.8,304.8,20.56640625,20.7421875
102,450,600,-60,0,120,304.8,304.8,21.796875,21.97265625
103,600,600,-60,0,120,304.8,304.8,22.67578125,22.8515625
104,750,600,-60,0,120,304.8,304.8,23.37890625,23.5546875
105,450,750,-60,0,120,304.8,304.8,24.78515625,24.9609375
106,600,750,-60,0,120,304.8,304.8,25.48828125,25.6640625
107,750,750,-60,0,120,304.8,304.8,27.0703125,27.24609375
108,450,450,0,0,180,7620.0,7620.0,27.421875,27.59765625
109,600,450,0,0,180,7620.0,7620.0,29.53125,29.70703125
110,750,450,0,0,180,7620.0,7620.0,31.640625,31.81640625
111,450,600,0,0,180,7620.0,7620.0,30.5859375,30.76171875
112,600,600,0,0,180,7620.0,7620.0,32.87109375,33.046875
113,750,600,0,0,180,7620.0,7620.0,34.98046875,35.15625
114,450,750,0,0,180,7620.0,7620.0,33.92578125,34.1015625
115,600,750,0,0,180,7620.0,7620.0,36.03515625,36.2109375
116,750,750,0,0,180,7620.0,7620.0,38.3203125,38.49609375
117,450,450,-30,0,150,7620.0,7620.0,26.015625,26.19140625
118,600,450,-30,0,150,7620.0,7620.0,27.94921875,28.125
119,750,450,-30,0,150,7620.0,7620.0,29.8828125,30.05859375
120,450,600,-30,0,150,7620.0,7620.0,29.1796875,29.35546875
121,600,600,-30,0,150,7620.0,7620.0,31.11328125,31.2890625
122,750,600,-30,0,150,7620.0,7620.0,33.046875,33.22265625
123,450,750,-30,0,150,7620.0,7620.0,32.16796875,32.34375
124,600,750,-30,0,150,7620.0,7620.0,34.27734375,34.453125
125,750,750,-30,0,150,7620.0,7620.0,36.2109375,36.38671875
126,450,450,-60,0,120,7620.0,7620.0,22.1484375,22.32421875
127,600,450,-60,0,120,7620.0,7620.0,23.5546875,23.73046875
128,750,450,-60,0,120,7620.0,7620.0,25.13671875,25.3125
129,450,600,-60,0,120,7620.0,7620.0,24.9609375,25.13671875
130,600,600,-60,0,120,7620.0,7620.0,26.3671875,26.54296875
131,750,600,-60,0,120,7620.0,7620.0,27.7734375,27.94921875
132,450,750,-60,0,120,7620.0,7620.0,27.7734375,27.94921875
133,600,750,-60,0,120,7620.0,7620.0,29.00390625,29.1796875
134,750,750,-60,0,120,7620.0,7620.0,30.5859375,30.76171875
135,450,450,0,0,180,13716.0,13716.0,30.9375,31.11328125
136,600,450,0,0,180,13716.0,13716.0,33.92578125,34.1015625
137,750,450,0,0,180,13716.0,13716.0,36.5625,36.73828125
138,450,600,0,0,180,13716.0,13716.0,33.75,33.92578125
139,600,600,0,0,180,13716.0,13716.0,36.73828125,36.9140625
140,750,600,0,0,180,13716.0,13716.0,39.55078125,39.7265625
141,450,750,0,0,180,13716.0,13716.0,36.5625,36.73828125
142,600,750,0,0,180,13716.0,13716.0,39.55078125,39.7265625
143,750,750,0,0,180,13716.0,13716.0,42.5390625,42.71484375
144,450,450,-30,0,150,13716.0,13716.0,29.1796875,29.35546875
